,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
212,2017-00072959,11/16/2017,2:24,7500 block of Baltimore Ave,11/16/2017,2:24,CDS Violation,Arrest
214,2017-00072960,11/16/2017,2:29,Baltimore Ave,11/16/2017,2:29,DWI/DUI,Arrest
216,2017-00072996,11/15/2017,11:30,7500 block of Preinkert Dr,11/16/2017,13:07,Vandalism,Suspended
218,2017-00073069,11/16/2017,21:32,Tawes Hall at 7751 Alumni Dr,11/16/2017,21:32,Emergency Petition,CBE
220,2017-00073073,11/16/2017,22:18,7500 block of Baltimore Ave,11/16/2017,22:25,Dept Property Damage/Loss,CBE
222,2017-00073074,11/16/2017,22:29,7400 block of Preinkert Dr,11/16/2017,22:29,CDS Violation,CBE
224,2017-00073107,11/17/2017,0:27,4200 block of Lehigh Rd,11/17/2017,0:27,CDS Violation,CBE
226,2017-00073188,11/17/2017,10:29,Garrett Hall at 7570 Calvert Service Ln,11/17/2017,10:29,Injured/Sick Person,CBE
228,2017-00073193,9/11/2017,12:00,4100 block of Campus Dr,11/17/2017,10:50,Title IX Incident Non Criminal,CBE
230,2017-00073212,9/16/2017,17:00,"Center for Educational Partnership, Riverdale School at 6200 Sheridan St",11/17/2017,13:50,Theft,Active/Pending
232,2017-00073358,11/17/2017,23:56,6800 block of Preinkert Dr,11/17/2017,23:56,Injured/Sick Person,CBE
234,2017-00073373,11/18/2017,1:30,Baltimore Ave,11/18/2017,1:39,Burglary,Arrest
236,2017-00073376,11/18/2017,2:43,6800 block of Preinkert Dr,11/18/2017,2:43,Injured/Sick Person,CBE
238,2017-00073444,11/18/2017,11:51,13 Fraternity Row,11/18/2017,11:51,Injured/Sick Person,CBE
240,2017-00073468,11/18/2017,17:01,"Capital One Field at Maryland Stadium, Maryland Stadium",11/18/2017,17:01,Assault,CBE
242,2017-00073539,11/19/2017,0:08,Knox Rd,11/19/2017,0:08,Injured/Sick Person,CBE
244,2017-00073548,11/19/2017,0:45,Campus Dr,11/19/2017,0:50,Injured/Sick Person,CBE
246,2017-00073559,11/19/2017,2:47,3900 block of Denton Service Ln,11/19/2017,2:47,Injured/Sick Person,CBE
248,2017-00073564,11/19/2017,3:29,6900 block of Preinkert Dr,11/19/2017,3:29,Injured/Sick Person,CBE
250,2017-00073617,11/19/2017,12:23,"Lot HH, PG1, Union Lane Parking Garage at 4170 Union Ln",11/19/2017,12:23,Recovered Stolen Property,Summons Issued
252,2017-00073667,11/17/2017,17:30,3900 block of Denton Service Ln,11/19/2017,18:41,Vandalism (Title IX Related),Active/Pending
254,2017-00073721,11/20/2017,0:01,Frat Row,11/20/2017,0:01,DWI/DUI,Arrest
256,2017-00073728,11/20/2017,0:36,4300 block of Knox Rd,11/20/2017,0:36,Emergency Petition,CBE
258,2017-00073729,11/20/2017,0:49,3900 block of Denton Service Ln,11/20/2017,0:49,CDS Violation,CBE
260,2017-00073751,11/20/2017,3:41,Hagerstown Hall at 4000 Stadium Dr,11/20/2017,3:41,Emergency Petition,CBE
262,2017-00073757,11/20/2017,4:10,4000 block of Stadium Dr,11/20/2017,4:10,Injured/Sick Person,CBE
264,2017-00073806,11/17/2017,15:00,Annapolis Hall at 7626 Regents Dr,11/20/2017,9:43,Theft,Suspended
266,2017-00073811,11/17/2017,13:50,Plant Sciences Building at 4291 Fieldhouse Dr,11/20/2017,10:43,Theft,Active/Pending
268,2017-00073829,11/17/2017,16:00,Dorchester Hall at 3947 Campus Dr,11/20/2017,12:08,Theft,Suspended
270,2017-00073838,11/20/2017,14:00,Cypress Building at 8320 Baltimore Ave,11/20/2017,14:39,Assault,CBE
272,2017-00073840,11/20/2017,15:00,Baltimore Ave,11/20/2017,15:05,Accident - Departmental,CBE
274,2017-00073877,11/20/2017,19:30,4000 block of Stadium Dr,11/20/2017,19:36,Emergency Petition,CBE
276,2017-00073883,11/5/2017,11:00,4200 block of Lehigh Rd,11/20/2017,20:56,Theft,CBE
278,2017-00073916,11/21/2017,0:19,"Chemistry, Chemistry Building at 8051 Regents Dr",11/21/2017,0:19,Trespassing,CBE
280,2017-00073917,11/20/2017,0:33,6800 block of Preinkert Dr,11/21/2017,0:33,Other Incident,Active/Pending
282,2017-00073929,11/21/2017,3:13,4200 block of Knox Rd,11/21/2017,3:13,Injured/Sick Person,CBE
284,2017-00073944,11/21/2017,9:55,Engineering Dr,11/21/2017,10:03,Injured/Sick Person,CBE
286,2017-00073948,11/15/2017,7:30,7500 block of Baltimore Ave,11/21/2017,10:40,Dept Property Damage/Loss,Arrest
288,2017-00074000,11/21/2017,13:30,7400 block of Princeton Ave,11/21/2017,16:52,Assist Other Agency,CBE
290,2017-00074287,11/22/2017,17:25,University Blvd,11/22/2017,17:25,Warrant/Summons Service,Arrest
292,2017-00074314,11/22/2017,20:07,"Dairy, Turner Hall, Visitor Center at 7736 Baltimore Ave",11/22/2017,20:07,DWI/DUI,Arrest
294,2017-00074343,11/22/2017,23:04,9000 block of Baltimore Ave,11/22/2017,23:04,DWI/DUI,Arrest
296,2017-00074368,11/23/2017,1:22,7300 block of Baltimore Ave,11/23/2017,1:22,Assist Other Agency,CBE
298,2017-00074542,11/22/2017,14:30,4600 block of Knox Rd,11/24/2017,5:50,Assist Other Agency,CBE
300,2017-00074569,11/21/2017,19:00,7500 block of Hopkins Ave,11/24/2017,15:18,Assist Other Agency,CBE
302,2017-00074636,11/17/2017,20:00,5000 block of Lakeland Rd,11/24/2017,21:03,Assist Other Agency,CBE
304,2017-00074645,11/24/2017,21:15,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr",11/24/2017,21:15,Accident - Departmental,CBE
306,2017-00074691,11/21/2017,12:00,7400 block of Dartmouth Ave,11/24/2017,23:10,Assist Other Agency,CBE
308,2017-00074692,11/24/2017,23:15,7300 block of Rhode Island Ave,11/24/2017,23:15,Assist Other Agency,CBE
310,2017-00074693,11/24/2017,23:15,10 Fraternity Row,11/24/2017,23:15,Weapon Violation,Arrest
312,2017-00074714,11/25/2017,2:13,University Blvd,11/25/2017,2:13,DWI/DUI,Arrest
314,2017-00074718,11/25/2017,2:34,Wind Tunnel Building at 8167 Paint Branch Dr,11/25/2017,2:34,Suspicious Person/Auto,CBE
316,2017-00074727,11/25/2017,3:00,7500 block of Baltimore Ave,11/25/2017,4:19,Injured/Sick Person,CBE
318,2017-00074758,11/21/2017,16:00,4600 block of College Ave,11/25/2017,9:33,Assist Other Agency,CBE
320,2017-00074779,11/25/2017,12:35,8100 block of Baltimore Ave,11/25/2017,13:05,Assist Other Agency,CBE
322,2017-00074799,11/25/2017,15:25,7400 block of Preinkert Dr,11/25/2017,15:28,Injured/Sick Person,CBE
324,2017-00074810,11/25/2017,15:57,"Capital One Field at Maryland Stadium, Maryland Stadium",11/25/2017,15:57,Injured/Sick Person,CBE
326,2017-00074815,11/25/2017,16:11,Maryland Stadium Building Upper Deck at 4063 Stadium Dr,11/25/2017,16:11,Injured/Sick Person,CBE
328,2017-00074822,11/25/2017,16:29,"Capital One Field at Maryland Stadium, Maryland Stadium",11/25/2017,16:29,Other Incident,CBE
330,2017-00074837,11/18/2017,17:09,"Capital One Field at Maryland Stadium, Maryland Stadium",11/25/2017,17:09,Disorderly Conduct,Arrest
332,2017-00074838,11/25/2017,17:15,3900 block of Campus Dr,11/25/2017,17:22,Injured/Sick Person,CBE
334,2017-00074848,11/25/2017,17:54,"Capital One Field at Maryland Stadium, Maryland Stadium",11/25/2017,17:54,Disorderly Conduct,Arrest
336,2017-00074872,11/25/2017,19:56,Lot Z,11/25/2017,19:56,Other Incident,CBE
338,2017-00074876,11/25/2017,20:28,Golf Course Club House at 3800 Golf Course Rd,11/25/2017,20:28,Theft from Auto,Suspended
340,2017-00074969,11/26/2017,1:39,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr",11/26/2017,1:39,DWI/DUI,Arrest
342,2017-00075006,11/26/2017,8:56,7500 block of Mowatt Ln,11/26/2017,8:56,Suspicious Person/Auto,Arrest
344,2017-00075015,11/26/2017,10:00,Rossborough Inn at 7682 Baltimore Ave,11/26/2017,11:48,Theft,Active/Pending
346,2017-00075034,11/26/2017,13:43,4700 block of Harvard Rd,11/26/2017,13:43,Assist Other Agency,CBE
348,2017-00075039,11/22/2017,5:00,4800 block of Norwich Rd,11/26/2017,15:05,Assist Other Agency,CBE
350,2017-00075157,11/27/2017,7:11,4100 block of Valley Dr,11/27/2017,7:11,Injured/Sick Person,CBE
352,2017-00075260,11/27/2017,12:01,4200 block of Stadium Dr,11/27/2017,12:01,Injured/Sick Person,CBE
354,2017-00075265,11/27/2017,12:00,4300 block of Knox Rd,11/27/2017,12:16,Assault,CBE
356,2017-00075310,11/27/2017,15:30,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr",11/27/2017,15:30,Injured/Sick Person,CBE
358,2017-00075327,11/27/2017,17:19,4000 block of Stadium Dr,11/27/2017,17:19,Emergency Petition,CBE
360,2017-00075342,10/27/2017,23:30,4200 block of Valley Dr,11/27/2017,19:18,Theft,Active/Pending
362,2017-00075395,11/27/2017,23:50,North Gate at 4306 Campus Dr,11/27/2017,23:50,Recovered Stolen Motor Vehicle,Arrest
364,2017-00075407,11/28/2017,1:12,Baltimore Ave,11/28/2017,1:12,DWI/DUI,Arrest
366,2017-00075410,11/28/2017,1:57,Oakland Hall at 3912 Denton Service Ln,11/28/2017,1:57,Injured/Sick Person,CBE
368,2017-00075494,11/25/2017,12:00,"Capital One Field at Maryland Stadium, Maryland Stadium",11/28/2017,14:50,Fraud,CBE
370,2017-00075495,11/28/2017,14:56,"Eppley Recreation Center, ERC at 4128 Valley Dr",11/28/2017,14:56,Theft,Active/Pending
372,2017-00075496,11/28/2017,13:00,4000 block of Stadium Dr,11/28/2017,15:00,Vandalism,Suspended
374,2017-00075497,11/28/2017,15:10,8500 block of Boteler Ln,11/28/2017,15:10,CDS Violation,CBE
376,2017-00075528,11/28/2017,18:23,7500 block of Baltimore Ave,11/28/2017,18:23,Disorderly Conduct,Arrest
378,2017-00075538,11/28/2017,19:51,4100 block of Campus Dr,11/28/2017,19:51,Injured/Sick Person,CBE
380,2017-00075549,11/27/2017,20:30,3900 block of Denton Service Ln,11/28/2017,21:53,Theft,Summons Issued
382,2017-00075587,11/29/2017,2:14,Howard Hall at 4296 Lehigh Rd,11/29/2017,2:14,Injured/Sick Person,CBE
384,2017-00075588,11/29/2017,2:18,7300 block of Baltimore Ave,11/29/2017,2:18,Disorderly Conduct,Arrest
386,2017-00075589,11/29/2017,2:18,7300 block of Baltimore Ave,11/29/2017,2:39,Injured/Sick Person,CBE
388,2017-00075648,11/28/2017,10:00,Health Center at 3983 Campus Dr,11/29/2017,11:23,Emergency Petition,CBE
390,2017-00075653,11/29/2017,12:44,Shoemaker Building at 4281 Chapel Ln,11/29/2017,12:44,Injured/Sick Person,CBE
392,2017-00075747,11/30/2017,0:27,4100 block of Farm Dr,11/30/2017,0:27,Injured/Sick Person,CBE
394,2017-00075828,10/26/2017,15:55,Lot 17d,11/30/2017,9:27,Theft,Suspended
396,2017-00075830,11/30/2017,9:49,4100 block of Campus Dr,11/30/2017,9:49,Injured/Sick Person,CBE
398,2017-00075833,11/30/2017,10:02,"Edward St. John Learning and Teching Center, ESJ at 4131 Campus Dr",11/30/2017,10:02,Injured/Sick Person,CBE
400,2017-00075835,11/29/2017,11:57,4300 block of Chapel Ln,11/30/2017,10:28,Telephone/EMail Misuse (Title IX Related),Suspended
402,2017-00075838,11/30/2017,11:19,University Blvd,11/30/2017,11:19,Warrant/Summons Service,Arrest
404,2017-00075843,11/30/2017,11:59,University Blvd,11/30/2017,11:59,Injured/Sick Person,CBE
406,2017-00075864,11/30/2017,15:26,Tawes Hall at 7751 Alumni Dr,11/30/2017,15:26,Injured/Sick Person,CBE
408,2017-00075885,11/30/2017,16:15,Adelphi Rd,11/30/2017,16:15,CDS Violation,Arrest
410,2017-00075888,11/30/2017,17:09,4200 block of Stadium Dr,11/30/2017,17:09,Injured/Sick Person,CBE
412,2017-00075927,11/30/2017,15:00,Cambridge Community Center at 4232 Farm Dr,11/30/2017,20:04,Other Incident,CBE
0,2017-00076008,12/1/2017,1:48,Knox Rd,12/1/2017,1:48,Injured/Sick Person,CBE
2,2017-00076050,12/1/2017,3:58,Baltimore Ave,12/1/2017,3:58,DWI/DUI,Arrest
4,2017-00076107,12/1/2017,12:45,4100 block of Valley Dr,12/1/2017,12:49,Emergency Petition,CBE
6,2017-00076115,12/1/2017,13:50,Health Center at 3983 Campus Dr,12/1/2017,13:56,Injured/Sick Person,CBE
8,2017-00076116,12/1/2017,15:10,Tydings Hall at 7343 Preinkert Dr,12/1/2017,15:11,CDS Violation,CBE
10,2017-00076117,11/30/2017,20:45,8700 block of Boteler Ln,12/1/2017,15:06,Other Incident,CBE
12,2017-00076118,12/1/2017,13:40,3900 block of Campus Dr,12/1/2017,15:35,Theft,Active/Pending
14,2017-00076121,11/30/2017,19:00,Charles Hall at 4405 Lehigh Rd,12/1/2017,16:20,Other Incident,CBE
16,2017-00076244,12/2/2017,2:21,4000 block of Stadium Dr,12/2/2017,2:21,Injured/Sick Person,CBE
18,2017-00076397,12/3/2017,0:46,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr",12/3/2017,0:46,Emergency Petition,CBE
20,2017-00076511,12/3/2017,18:27,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",12/3/2017,18:27,CDS Violation,Arrest
22,2017-00076549,12/3/2017,22:50,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr",12/3/2017,22:50,CDS Violation,CBE
24,2017-00076561,12/3/2017,23:48,3800 block of Stadium Dr,12/3/2017,23:48,Emergency Petition,CBE
26,2017-00076593,12/4/2017,4:33,Oakland Hall at 3912 Denton Service Ln,12/4/2017,4:33,Emergency Petition,CBE
28,2017-00076671,12/4/2017,16:01,Taliaferro Hall at 4280 Chapel Ln,12/4/2017,16:01,Emergency Petition (Title IX Related),Arrest
30,2017-00076685,12/4/2017,17:15,7600 block of Library Ln,12/4/2017,17:40,Theft,Active/Pending
32,2017-00076705,12/4/2017,22:35,3800 block of Stadium Dr,12/4/2017,22:35,CDS Violation,CBE
34,2017-00076718,12/4/2017,23:56,4100 block of Valley Dr,12/4/2017,23:56,Emergency Petition,CBE
36,2017-00076731,12/5/2017,0:44,3400 block of Tulane Dr,12/5/2017,0:44,Trespassing,Arrest
38,2017-00076822,12/5/2017,11:48,Cambridge Community Center at 4232 Farm Dr,12/5/2017,11:48,Theft,Active/Pending
40,2017-00076838,12/3/2017,17:00,7500 block of Baltimore Ave,12/5/2017,15:06,Dept Property Damage/Loss,CBE
42,2017-00077047,12/5/2017,19:00,4400 block of Stadium Dr,12/6/2017,11:23,Theft,Suspended
44,2017-00077076,8/4/2017,16:30,4700 block of Pontiac St,12/6/2017,14:46,Theft,CBE
46,2017-00077096,12/6/2017,16:23,3900 block of Campus Dr,12/6/2017,16:23,Theft,Arrest
48,2017-00077097,12/6/2017,15:45,4100 block of Campus Dr,12/6/2017,16:29,Theft,Active/Pending
50,2017-00077143,12/6/2017,23:06,7200 block of Preinkert Dr,12/6/2017,23:06,Emergency Petition,CBE
52,2017-00077154,12/6/2017,23:40,4300 block of Knox Rd,12/6/2017,23:55,Assault (Title IX Related),CBE
54,2017-00077160,12/7/2017,0:42,Lot 11b,12/7/2017,0:42,Injured/Sick Person,CBE
56,2017-00077172,12/7/2017,1:40,University Blvd,12/7/2017,1:40,DWI/DUI,Arrest
58,2017-00077268,12/5/2017,15:19,7500 block of Baltimore Ave,12/7/2017,17:33,Telephone/EMail Misuse,CBE
60,2017-00077321,12/6/2017,0:30,7400 block of Dartmouth Ave,12/7/2017,21:20,Assist Other Agency,CBE
62,2017-00077490,12/8/2017,14:03,8000 block of Boteler Ln,12/8/2017,14:03,Emergency Petition,CBE
64,2017-00077494,12/8/2017,15:37,Shoemaker Building at 4281 Chapel Ln,12/8/2017,15:37,Injured/Sick Person,CBE
66,2017-00077497,12/7/2017,23:00,4300 block of Rowalt Dr,12/8/2017,16:11,Assault,CBE
68,2017-00077503,10/4/2017,12:00,7500 block of Baltimore Ave,12/8/2017,16:56,Fraud,Active/Pending
70,2017-00077533,12/8/2017,18:46,3900 block of Campus Dr,12/8/2017,18:46,Injured/Sick Person,CBE
72,2017-00077604,12/8/2017,19:00,4000 block of Stadium Dr,12/8/2017,23:21,Peeping Tom,Active/Pending
74,2017-00077607,12/8/2017,23:54,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",12/8/2017,23:54,CDS Violation,Arrest
76,2017-00077616,12/9/2017,0:45,8100 block of Baltimore Ave,12/9/2017,1:04,Check on the Welfare,CBE
78,2017-00077622,12/9/2017,2:30,4000 block of Stadium Dr,12/9/2017,2:40,Injured/Sick Person,CBE
80,2017-00077727,12/9/2017,22:20,7000 block of Preinkert Dr,12/9/2017,22:22,CDS Violation,CBE
82,2017-00077767,12/10/2017,2:00,4200 block of Valley Dr,12/10/2017,2:07,Injured/Sick Person,CBE
84,2017-00077769,12/10/2017,2:15,"Terrapin Row #3, Terrapin Row 3, TR3 at 4301 Hartwick Rd",12/10/2017,2:31,Assist Other Agency,CBE
86,2017-00077791,12/10/2017,8:49,Knox Rd,12/10/2017,8:49,DWI/DUI,Arrest
88,2017-00077845,12/10/2017,20:41,Ellicott Area Dining Hall at 4028 Stadium Dr,12/10/2017,20:41,Theft,Suspended
90,2017-00077897,12/11/2017,0:41,Baltimore Ave,12/11/2017,0:41,CDS Violation,Active/Pending
92,2017-00077898,12/11/2017,0:43,University Blvd,12/11/2017,0:43,DWI/DUI,Arrest
94,2017-00077984,12/11/2017,16:50,4000 block of Stadium Dr,12/11/2017,16:50,Suspicious Activity (Title IX Related),CBE
96,2017-00078005,12/11/2017,22:00,Wicomico Hall at 7218 Preinkert Dr,12/11/2017,22:26,CDS Violation,CBE
98,2017-00078122,12/11/2017,16:00,5800 block of University Research Ct,12/12/2017,6:49,Burglary,Suspended
100,2017-00078230,12/8/2017,16:34,4200 block of Campus Dr,12/12/2017,18:07,Title IX Incident Non Criminal,Suspended
102,2017-00078260,12/12/2017,22:12,7500 block of Baltimore Ave,12/12/2017,22:12,Other Incident,CBE
104,2017-00078291,12/13/2017,0:19,7100 block of Rossburg Dr,12/13/2017,0:19,Emergency Petition,CBE
106,2017-00078442,12/13/2017,9:34,Health Center at 3983 Campus Dr,12/13/2017,9:34,Emergency Petition,CBE
108,2017-00078461,12/13/2017,11:15,340 block of Ehrensberger Dr,12/13/2017,11:15,Fraud,CBE
110,2017-00078480,12/13/2017,15:30,Denton Area Dining Hall at 3951 Denton Service Ln,12/13/2017,15:57,Theft,CBE
112,2017-00078481,12/13/2017,14:00,Health Center at 3983 Campus Dr,12/13/2017,16:03,Emergency Petition,CBE
114,2017-00078482,12/13/2017,16:04,Skinner Building at 4300 Chapel Ln,12/13/2017,16:04,Injured/Sick Person,CBE
116,2017-00078487,12/13/2017,16:46,4000 block of Stadium Dr,12/13/2017,16:46,CDS Violation,CBE
118,2017-00078506,12/13/2017,20:08,7500 block of Baltimore Ave,12/13/2017,20:08,Dept Property Damage/Loss,CBE
120,2017-00078612,12/14/2017,2:42,Baltimore Ave,12/14/2017,2:42,DWI/DUI,Arrest
122,2017-00078657,12/11/2017,9:49,4000 block of Stadium Dr,12/14/2017,9:49,Suspicious Activity,CBE
124,2017-00078669,11/29/2017,9:00,7600 block of Regents Dr,12/14/2017,11:23,Theft,Suspended
126,2017-00078694,12/14/2017,16:00,"Center for Educational Partnership, Riverdale School at 6200 Sheridan St",12/14/2017,16:38,Suspicious Activity,Active/Pending
128,2017-00078711,12/14/2017,15:22,Rossborough Ln,12/14/2017,19:35,Dept Property Damage/Loss,CBE
130,2017-00078759,12/14/2017,17:45,3900 block of Denton Service Ln,12/14/2017,22:13,Burglary,Active/Pending
132,2017-00078866,12/15/2017,4:20,Ellicott Area Dining Hall at 4028 Stadium Dr,12/15/2017,4:57,Damage to State Property,Active/Pending
134,2017-00078902,12/15/2017,10:01,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",12/15/2017,10:01,Fraud,CBE
136,2017-00078928,12/15/2017,13:30,8000 block of Regents Dr,12/15/2017,15:44,Theft,Arrest
138,2017-00079049,12/16/2017,9:20,340 block of Ehrensberger Dr,12/16/2017,9:31,Other Incident,CBE
140,2017-00079080,12/16/2017,16:09,Van Munching Hall at 7699 Mowatt Ln,12/16/2017,16:09,Other Incident,CBE
142,2017-00079094,12/16/2017,19:00,"Eppley Recreation Center, ERC at 4128 Valley Dr",12/16/2017,19:12,Injured/Sick Person,CBE
144,2017-00079105,12/15/2017,21:00,7200 block of Preinkert Dr,12/16/2017,22:30,Theft,Active/Pending
146,2017-00079139,12/17/2017,1:30,4500 block of College Ave,12/17/2017,1:36,Injured/Sick Person,CBE
148,2017-00079214,12/17/2017,16:55,7500 block of Baltimore Ave,12/17/2017,16:56,Dept Property Damage/Loss,CBE
150,2017-00079356,12/18/2017,11:04,Denton Area Dining Hall at 3951 Denton Service Ln,12/18/2017,11:04,Injured/Sick Person,CBE
152,2017-00079359,12/18/2017,11:53,4200 block of Lehigh Rd,12/18/2017,11:53,Vandalism,Active/Pending
154,2017-00079380,12/1/2017,19:00,4300 block of Knox Rd,12/18/2017,14:50,Theft,Suspended
156,2017-00079401,12/18/2017,18:00,7400 block of Baltimore Ave,12/18/2017,18:09,Injured/Sick Person,CBE
158,2017-00079439,12/19/2017,0:05,4700 block of Norwich Rd,12/19/2017,0:21,Assist Other Agency,CBE
160,2017-00079449,12/19/2017,0:17,8300 block of Baltimore Ave,12/19/2017,1:17,Injured/Sick Person,CBE
162,2017-00079569,12/14/2017,2:00,3400 block of Tulane Dr,12/19/2017,12:44,Fraud,Active/Pending
164,2017-00079570,12/19/2017,12:30,7300 block of Baltimore Ave,12/19/2017,12:51,Accident - Departmental,Active/Pending
166,2017-00079621,12/19/2017,18:15,3900 block of Campus Dr,12/19/2017,18:32,Assault,CBE
168,2017-00079676,12/20/2017,0:07,University Blvd,12/20/2017,0:07,CDS Violation,Arrest
170,2017-00079805,12/20/2017,12:05,9000 block of Baltimore Ave,12/20/2017,12:09,Assist Other Agency,CBE
172,2017-00080178,12/21/2017,20:06,3500 block of Cherry Blossom Crossing,12/21/2017,20:04,Assist Other Agency,CBE
174,2017-00080432,12/22/2017,23:50,Yale Ave,12/23/2017,0:05,Assist Other Agency,CBE
176,2017-00081291,12/27/2017,1:13,8800 block of 36th Ave,12/27/2017,1:38,Assist Other Agency,CBE
178,2017-00081313,12/23/2017,15:00,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr",12/27/2017,6:22,Burglary,Arrest
180,2017-00081377,12/27/2017,19:41,University Blvd,12/27/2017,19:41,Warrant/Summons Service,Arrest
182,2017-00081391,12/18/2017,15:00,7400 block of Columbia Ave,12/27/2017,22:17,Assist Other Agency,CBE
184,2017-00081511,12/20/2017,21:00,7400 block of Dickinson Ave,12/28/2017,12:32,Assist Other Agency,CBE
186,2017-00081527,12/28/2017,17:06,7400 block of Hopkins Ave,12/28/2017,17:06,Assist Other Agency,CBE
188,2017-00081686,12/29/2017,11:13,3900 block of Campus Dr,12/29/2017,11:13,Hazardous Condition,CBE
190,2017-00081754,12/18/2017,16:00,7500 block of Girard Ave,12/29/2017,19:11,Assist Other Agency,CBE
192,2017-00081764,12/29/2017,20:00,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",12/29/2017,21:52,Alcohol Violation,Arrest
194,2017-00081912,12/29/2017,7:00,7500 block of Baltimore Ave,12/30/2017,11:09,Dept Property Damage/Loss,Active/Pending
196,2017-00082098,12/31/2017,3:33,8200 block of Baltimore Ave,12/31/2017,3:33,CDS Violation,Arrest
198,2017-00082233,12/31/2017,20:55,340 block of Ehrensberger Dr,12/31/2017,20:58,Vandalism,Suspended
0,2018-00000004,1/1/2018,0:30,4400 block of Knox Rd,1/1/2018,0:35,Injured/Sick Person,CBE
2,2018-00000006,1/1/2018,0:41,Delta Sigma Phi at 4300 Knox Rd,1/1/2018,0:41,Injured/Sick Person,CBE
4,2018-00000011,1/1/2018,1:06,Mowatt Ln,1/1/2018,1:06,Injured/Sick Person,CBE
6,2018-00000017,1/1/2018,1:56,Baltimore Ave,1/1/2018,1:56,DWI/DUI,Arrest
8,2018-00000018,1/1/2018,2:27,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd",1/1/2018,2:27,Assist Other Agency,CBE
10,2018-00000149,1/1/2018,16:50,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",1/1/2018,16:57,Injured/Sick Person,CBE
12,2018-00000292,12/28/2017,18:00,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr",1/2/2018,11:08,Fraud,CBE
14,2018-00000320,1/2/2018,9:30,4200 block of Lehigh Rd,1/2/2018,16:32,Vandalism,Investigation Pending
16,2018-00000515,1/3/2018,14:44,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",1/3/2018,14:44,Emergency Petition,CBE
18,2018-00000911,1/5/2018,15:04,Lot 1b,1/5/2018,15:04,Vandalism,CBE
20,2018-00000934,1/5/2018,18:07,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",1/5/2018,18:07,Injured/Sick Person,CBE
22,2018-00001330,1/7/2018,13:33,"Chemistry, Chemistry Building at 8051 Regents Dr",1/7/2018,13:33,Damage to State Property,CBE
24,2018-00001331,1/7/2018,13:45,8100 block of Baltimore Ave,1/7/2018,14:55,Assist Other Agency,CBE
26,2018-00001367,1/7/2018,19:45,8000 block of Regents Dr,1/7/2018,19:45,Other Incident,CBE
28,2018-00001425,1/8/2018,3:00,"Bio Psych, Biology-Psychology Building at 4094 Campus Dr",1/8/2018,3:00,Other Incident,CBE
30,2018-00001430,1/8/2018,4:12,7000 block of Preinkert Dr,1/8/2018,4:12,Other Incident,CBE
32,2018-00001487,1/8/2018,9:16,"LaPlata, LaPlata Hall at 4121 Farm Dr",1/8/2018,9:16,Damage to State Property,CBE
34,2018-00001693,1/9/2018,5:00,Geology Building at 8000 Regents Dr,1/9/2018,7:14,Damage to State Property,CBE
36,2018-00001737,1/9/2018,11:14,"Dorchester, Dorchester Hall at 3947 Campus Dr",1/9/2018,11:14,Assault,Arrest
38,2018-00001754,1/4/2018,15:30,"Litton, Police Services & Training Facility at 7147 51st Ave",1/9/2018,15:46,Injured/Sick Person,CBE
40,2018-00001853,1/10/2018,2:38,University Blvd,1/10/2018,2:38,CDS Violation,Arrest
42,2018-00001855,1/10/2018,2:50,8100 block of Baltimore Ave,1/10/2018,2:50,Recovered Stolen Motor Vehicle,Arrest
44,2018-00001897,1/10/2018,10:38,"Computer Science Instructional Center, CSIC at 8169 Paint Branch Dr",1/10/2018,10:38,Injured/Sick Person,CBE
46,2018-00002033,1/11/2018,0:04,Baltimore Ave,1/11/2018,0:04,DWI/DUI,Arrest
48,2018-00002195,1/11/2018,18:55,Pocomoke at 7569 Baltimore Ave,1/11/2018,18:55,Assist Other Agency,CBE
50,2018-00002243,1/11/2018,23:21,8300 block of Baltimore Ave,1/11/2018,23:21,CDS Violation,Arrest
52,2018-00002284,1/12/2018,0:36,Baltimore Ave,1/12/2018,0:36,DWI/DUI,Arrest
54,2018-00002374,1/12/2018,8:02,"Elkins, Elkins Building, Systems Office, UM Systems Office at 3300 Metzerott Rd",1/12/2018,8:02,Injured/Sick Person,CBE
